Exercise,Diet,Source Location,Clutch,Individual number,Body Length,Leg length (mm),Arm length (mm),Head Width (mm) ,Heart Mass (g),Liver Mass (g),Struggle (number of kicks),Righting time (s),Distance traveled in 1 min (cm),Spontaneous Acitivty - 95%quantile (cm),exhaustion score,Stamina score,Recovery score,ln RadioTelemetry distance
1,1,WA,Kunanurra,122,32.7,0.360856269,0.250764526,0.333333333,0.000672783,0.003730887,2,1,697,14.1636,3.950666629,0.00871673,-0.043289246,5.7
0,1,WA,Kunanurra,124,43.5,0.390804598,0.222988506,0.390804598,0.001241379,0.004781609,4,175,365,23.9686,5.394218281,0.229213531,0.105805175,100
0,1,WA,Kunanurra,125,31.7,0.375394322,0.277602524,0.331230284,0.000662461,0.00362776,1,1,790,15.9718,4.202750436,0.004341405,-0.050614096,28.4
1,1,WA,Kunanurra,126,29.3,0.37883959,0.28668942,0.337883959,0.000511945,0.020819113,5,1,585,54.4101,4.568921053,0.216479424,0.099145574,
0,0,WA,Kunanurra,127,28.8,0.350694444,0.229166667,0.329861111,0.000763889,0.002881944,0,1,643,21.6427,4.81315949,0.166879566,-0.164952611,
1,0,WA,Kunanurra,128,27.9,0.362007168,0.268817204,0.336917563,0.000286738,0.000752688,1,1,652,13.4245,4.369447852,-0.012168344,-0.236367302,
1,0,WA,Kunanurra,129,29.2,0.376712329,0.260273973,0.352739726,0.000513699,0.001917808,6,1,581,17.7087,4.027848571,-0.201958007,0.138479668,
1,1,WA,Kunanurra,130,31.5,0.361904762,0.247619048,0.342857143,0.000730159,0.002603175,7,1,630,10.2522,4.59643212,-0.006225997,0.055736606,
1,0,WA,Kunanurra,131,24.6,0.361788618,0.284552846,0.369918699,0.000325203,0.000650407,1,1,540,25.2065,4.547752915,0.083712945,-0.234834879,
1,0,WA,Kunanurra,133,32.8,0.384146341,0.268292683,0.347560976,0.000243902,0.001707317,5,1,862,35.25105,4.07005187,0.014749773,0.035803899,
0,0,WA,Kunanurra,134,33.6,0.369047619,0.25297619,0.375,0.001011905,0.003660714,6,4,457,11.3566,4.709350005,-0.045123018,0.160957895,11.2
0,0,WA,Kunanurra,135,25.8,0.414728682,0.26744186,0.372093023,0.000232558,0.000930233,2,1,511,14.8308,5.32743918,0.307969212,-0.028110442,
1,1,WA,Kunanurra,138,29.6,0.375,0.283783784,0.351351351,0.001013514,0.002162162,3,1,540,39.5533,4.027848571,-0.201958007,-0.236367302,
1,1,WA,Kunanurra,139,25.3,0.347826087,0.217391304,0.347826087,0.000592885,0.001778656,2,1,540,22.0217,4.51151863,0.050042297,0.032851939,
1,0,WA,Oombi,151,28.5,0.350877193,0.252631579,0.357894737,0.000280702,0.000736842,3,1,480,13.1381,4.361185969,-0.119179425,-0.206621836,
0,0,WA,Oombi,153,28.3,0.363957597,0.233215548,0.371024735,0.000671378,0.002120141,2,1,509,19.21585,4.966544073,-0.051049752,-0.240925195,
1,0,WA,Oombi,158,25.1,0.35059761,0.207171315,0.338645418,0.000318725,0.002151394,3,1,472,15.3022,5.090801071,-0.211979258,0.14566004,
1,0,WA,Oombi,160,24.5,0.363265306,0.224489796,0.32244898,0.000244898,0.000979592,1,1,234,16.2948,5.60322522,-0.055465444,0.257290159,
0,0,WA,Oombi,163,25.4,0.334645669,0.244094488,0.346456693,0.00023622,0.002125984,0,1,510,9.127,4.866918876,0.08902299,-0.054343274,
1,1,WA,Oombi,164,25.3,0.324110672,0.225296443,0.343873518,0.000474308,0.000948617,0,1,120,7.7693,5.959741655,-0.350753808,1.141828547,
1,0,WA,Oombi,167,28.4,0.341549296,0.207746479,0.348591549,0.001866197,0.00084507,0,1,270,16.0895,5.175132266,-0.058829897,0.068556081,
